Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,Run4steps,Run5steps,Run6steps,Run7steps,Run8steps,Run9steps,
136,8,8,8,8,8,8,8,8,8,10,
137,8,8,8,10,10,10,10,12,8,10,
138,8,8,8,29,8,8,10,8,8,12,
139,8,8,10,8,8,10,19,12,10,8,
140,8,8,8,8,8,8,10,10,8,8,
141,10,8,8,10,8,12,10,16,10,8,
142,8,8,10,10,8,8,8,8,10,8,
143,8,10,8,8,8,8,8,8,14,12,
144,10,8,8,12,35,27,8,8,8,12,
145,10,13,8,8,8,8,8,10,8,8,
146,12,8,8,8,8,8,8,8,8,10,
147,8,8,10,8,12,8,8,8,12,10,
148,8,10,8,8,10,10,8,8,8,8,
149,8,8,10,8,8,17,8,8,8,8,
150,8,8,8,8,15,10,8,8,10,8,
151,12,8,8,10,8,8,8,10,8,10,
152,8,10,8,8,10,8,10,10,8,8,
153,10,8,8,10,8,8,8,8,10,8,
154,10,8,10,8,8,8,8,8,8,8,
155,8,8,8,8,8,8,12,10,8,8,
156,8,10,10,8,10,10,8,10,8,10,
157,12,8,8,10,8,8,8,8,8,8,
158,14,10,8,12,15,8,10,10,8,8,
159,8,10,10,10,8,8,10,8,12,8,
160,8,8,8,8,8,8,8,8,10,8,
161,8,10,8,8,8,8,10,8,8,10,
162,10,16,8,8,10,8,8,8,8,8,
163,10,8,26,8,10,10,10,8,8,8,
164,8,8,8,10,18,8,14,8,8,10,
165,8,12,8,10,8,8,8,8,8,8,
166,8,8,8,8,10,8,8,10,8,8,
167,10,10,14,8,8,8,8,12,8,8,
168,8,8,12,10,8,8,10,8,12,15,
169,10,8,8,10,14,12,8,12,8,8,
170,10,10,8,12,8,8,10,8,8,16,
171,8,8,8,12,12,8,8,10,12,10,
172,8,10,8,8,10,10,8,14,8,8,
173,8,17,10,8,8,8,8,8,8,12,
174,10,20,12,8,8,8,10,8,8,10,
175,8,10,8,8,10,8,10,10,10,8,
