*************** Q table for run 0 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.367	-2.323	-2.290	-2.300
1		0		1		|	-2.373	-2.346	-2.330	-2.376
2		0		2		|	-2.330	-1.896	-2.298	-2.300
3		0		3		|	-2.070	-2.054	-2.135	-2.094
4		0		4		|	-1.729	-1.696	-1.689	-1.700
5		0		5		|	-1.368	-1.417	-1.376	-1.390
6		0		6		|	-1.150	-1.145	-1.125	-1.100
7		0		7		|	-0.998	-0.977	-1.000	-1.000
8		0		8		|	-0.936	-0.961	-0.873	-0.900
9		0		9		|	-0.900	-0.846	-0.933	-0.900
10		1		0		|	-2.363	-2.418	-2.400	-2.336
11		1		1		|	-2.374	-2.365	-2.454	-2.404
12		1		2		|	-2.421	1.604	-2.485	-2.574
13		1		3		|	-2.127	2.497	-2.014	-2.145
14		1		4		|	-1.558	-0.974	-1.640	-1.610
15		1		5		|	-1.215	0.324	-1.258	-1.229
16		1		6		|	-0.987	-0.994	-1.023	-1.031
17		1		7		|	-0.837	-0.915	-0.882	-0.931
18		1		8		|	-0.774	-0.769	-0.859	-0.829
19		1		9		|	-0.791	-0.741	-0.732	-0.825
20		2		0		|	-2.306	-2.342	-2.385	-2.317
21		2		1		|	1.743	-2.515	-2.503	-2.430
22		2		2		|	3.000	2.199	0.036	-0.329
23		2		3		|	1.752	4.000	1.620	0.447
24		2		4		|	4.834	-1.336	-0.904	-1.343
25		2		5		|	-0.661	5.996	-0.906	-1.047
26		2		6		|	-0.657	2.280	-0.782	-0.751
27		2		7		|	-0.654	-0.652	-0.686	-0.743
28		2		8		|	-0.696	-0.669	-0.600	-0.642
29		2		9		|	-0.691	-0.657	-0.631	-0.727
30		3		0		|	-2.161	-2.067	-2.075	-2.008
31		3		1		|	-1.152	-2.051	-2.116	-2.127
32		3		2		|	3.972	-2.071	-2.067	-2.013
33		3		3		|	5.000	2.738	2.281	2.638
34		3		4		|	6.000	5.111	3.396	2.740
35		3		5		|	5.832	7.000	4.455	4.529
36		3		6		|	-0.384	7.815	0.806	-0.378
37		3		7		|	-0.500	-0.455	-0.451	-0.560
38		3		8		|	-0.582	-0.558	-0.583	-0.525
39		3		9		|	-0.500	-0.565	-0.599	-0.536
40		4		0		|	-1.777	-1.721	-1.697	-1.731
41		4		1		|	-1.644	-1.664	-1.692	-1.665
42		4		2		|	-0.953	-1.432	-1.431	-1.507
43		4		3		|	5.389	-0.988	-1.237	-0.929
44		4		4		|	6.994	0.590	0.400	1.263
45		4		5		|	7.261	8.000	5.128	5.621
46		4		6		|	-0.384	8.998	1.161	2.087
47		4		7		|	-0.401	-0.281	1.545	-0.341
48		4		8		|	-0.400	-0.397	-0.389	-0.517
49		4		9		|	-0.400	-0.478	-0.400	-0.434
50		5		0		|	-1.451	-1.406	-1.393	-1.408
51		5		1		|	-1.280	-1.318	-1.325	-1.308
52		5		2		|	-0.993	-1.026	-1.070	-1.062
53		5		3		|	0.494	-0.589	-0.657	-0.558
54		5		4		|	7.635	-0.297	-0.348	0.933
55		5		5		|	9.000	8.397	5.379	6.444
56		5		6		|	4.273	10.000	7.496	6.465
57		5		7		|	-0.200	7.178	1.629	-0.110
58		5		8		|	-0.301	-0.210	-0.200	-0.319
59		5		9		|	-0.300	-0.299	-0.373	-0.319
60		6		0		|	-1.079	-1.128	-1.100	-1.158
61		6		1		|	-0.960	-0.996	-1.018	-0.920
62		6		2		|	-0.413	-0.650	-0.622	-0.677
63		6		3		|	2.352	-0.401	-0.439	-0.325
64		6		4		|	6.481	-0.100	0.017	-0.100
65		6		5		|	9.948	0.000	1.305	0.959
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.174	-0.100	9.576	0.229
68		6		8		|	-0.200	-0.110	1.322	-0.100
69		6		9		|	-0.290	-0.299	-0.200	-0.200
70		7		0		|	-0.885	-0.953	-0.900	-0.903
71		7		1		|	-0.843	-0.849	-0.779	-0.768
72		7		2		|	-0.615	-0.667	-0.609	-0.647
73		7		3		|	-0.370	-0.408	-0.403	-0.134
74		7		4		|	-0.190	-0.200	-0.210	0.309
75		7		5		|	-0.100	-0.100	-0.100	0.646
76		7		6		|	-0.100	-0.100	-0.100	1.000
77		7		7		|	-0.200	-0.209	-0.100	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.199
79		7		9		|	-0.200	-0.290	-0.190	-0.190
80		8		0		|	-0.859	-0.786	-0.791	-0.827
81		8		1		|	-0.731	-0.694	-0.790	-0.734
82		8		2		|	-0.622	-0.599	-0.612	-0.640
83		8		3		|	-0.553	-0.400	-0.404	-0.401
84		8		4		|	-0.363	-0.318	-0.317	-0.351
85		8		5		|	-0.290	-0.201	-0.200	-0.190
86		8		6		|	-0.290	-0.200	-0.200	-0.190
87		8		7		|	-0.300	-0.200	-0.281	-0.200
88		8		8		|	-0.209	-0.209	-0.300	-0.290
89		8		9		|	-0.200	-0.200	-0.282	-0.200
90		9		0		|	-0.672	-0.700	-0.699	-0.738
91		9		1		|	-0.742	-0.600	-0.593	-0.623
92		9		2		|	-0.563	-0.600	-0.618	-0.622
93		9		3		|	-0.463	-0.400	-0.429	-0.400
94		9		4		|	-0.374	-0.400	-0.310	-0.392
95		9		5		|	-0.209	-0.300	-0.300	-0.209
96		9		6		|	-0.200	-0.200	-0.200	-0.200
97		9		7		|	-0.200	-0.200	-0.190	-0.200
98		9		8		|	-0.200	-0.200	-0.200	-0.210
99		9		9		|	-0.200	-0.200	-0.190	-0.200

*************** Q table for run 2 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.363	-2.436	-2.390	-2.400
1		0		1		|	-2.389	-2.464	-2.365	-2.391
2		0		2		|	-2.331	-2.376	-2.328	-2.300
3		0		3		|	-2.223	-2.143	-2.110	-2.088
4		0		4		|	-1.864	-1.906	-1.936	-1.857
5		0		5		|	-1.579	-1.541	-1.607	-1.479
6		0		6		|	-1.317	-1.256	-1.368	-1.295
7		0		7		|	-1.093	-1.085	-1.146	-1.100
8		0		8		|	-1.034	-0.962	-0.953	-1.000
9		0		9		|	-0.890	-0.967	-0.938	-0.900
10		1		0		|	-2.426	-2.424	-2.374	-2.381
11		1		1		|	-2.473	-2.503	-2.472	-2.507
12		1		2		|	-2.491	1.511	-2.585	-2.521
13		1		3		|	-2.190	-2.171	-2.158	-2.235
14		1		4		|	-1.834	-1.800	-1.787	-1.813
15		1		5		|	-1.438	-1.437	-1.531	-1.445
16		1		6		|	-1.080	-0.991	-1.152	-1.150
17		1		7		|	-0.941	-0.997	-0.983	-1.013
18		1		8		|	-0.860	-0.871	-0.942	-0.898
19		1		9		|	-0.900	-0.834	-0.912	-0.825
20		2		0		|	-2.398	-2.320	-2.285	-2.346
21		2		1		|	1.678	-2.141	-2.485	-2.544
22		2		2		|	1.893	3.000	-0.114	-0.569
23		2		3		|	-2.171	3.922	-2.190	-2.325
24		2		4		|	-1.611	-0.511	-1.617	-1.655
25		2		5		|	-1.063	-1.123	-1.147	-1.194
26		2		6		|	-0.748	0.718	-0.771	-0.729
27		2		7		|	-0.834	-0.653	-0.695	-0.853
28		2		8		|	-0.764	-0.731	-0.716	-0.757
29		2		9		|	-0.690	-0.737	-0.686	-0.744
30		3		0		|	-2.172	-2.127	-2.098	-2.123
31		3		1		|	2.588	-2.142	-2.216	-2.155
32		3		2		|	4.000	3.241	0.501	1.354
33		3		3		|	1.513	5.000	2.822	1.874
34		3		4		|	-1.101	4.664	-1.204	-1.248
35		3		5		|	0.140	-0.661	-0.822	-0.772
36		3		6		|	-0.398	4.248	-0.422	-0.443
37		3		7		|	-0.504	-0.456	-0.307	-0.537
38		3		8		|	-0.502	-0.554	-0.590	-0.560
39		3		9		|	-0.600	-0.563	-0.600	-0.525
40		4		0		|	-1.767	-1.707	-1.693	-1.891
41		4		1		|	-1.575	-1.656	-1.685	-1.838
42		4		2		|	4.914	-0.762	-1.460	-1.489
43		4		3		|	4.275	6.000	1.753	3.647
44		4		4		|	-0.640	6.905	-0.665	-0.555
45		4		5		|	-0.307	1.061	-0.325	-0.328
46		4		6		|	-0.291	7.583	-0.169	-0.008
47		4		7		|	-0.290	-0.262	0.200	-0.310
48		4		8		|	-0.400	-0.380	-0.382	-0.310
49		4		9		|	-0.400	-0.390	-0.400	-0.420
50		5		0		|	-1.332	-1.316	-1.300	-1.398
51		5		1		|	-1.209	-1.245	-1.230	-1.314
52		5		2		|	-0.867	5.773	-0.969	-0.954
53		5		3		|	6.533	7.000	3.914	4.382
54		5		4		|	1.468	7.999	3.323	0.803
55		5		5		|	8.766	-0.100	1.241	-0.110
56		5		6		|	-0.100	9.990	0.279	0.628
57		5		7		|	-0.100	-0.100	1.147	-0.110
58		5		8		|	-0.200	-0.200	-0.221	-0.219
59		5		9		|	-0.300	-0.300	-0.290	-0.200
60		6		0		|	-1.053	-1.124	-0.998	-0.990
61		6		1		|	-0.283	-0.897	-0.933	-0.927
62		6		2		|	6.997	-0.607	-0.638	-0.043
63		6		3		|	8.000	3.569	5.708	5.248
64		6		4		|	9.000	4.478	6.491	5.479
65		6		5		|	10.000	5.441	7.355	6.904
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.100	1.900	0.000
68		6		8		|	-0.200	-0.200	-0.090	-0.100
69		6		9		|	-0.290	-0.300	-0.200	-0.200
70		7		0		|	-0.923	-0.844	-0.897	-0.887
71		7		1		|	-0.744	-0.746	-0.726	-0.763
72		7		2		|	-0.455	-0.482	-0.566	0.324
73		7		3		|	0.162	-0.301	-0.319	6.211
74		7		4		|	0.404	-0.317	-0.110	7.251
75		7		5		|	-0.090	-0.184	-0.100	8.293
76		7		6		|	-0.100	-0.100	-0.100	1.900
77		7		7		|	-0.200	-0.110	-0.190	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.200
79		7		9		|	-0.300	-0.300	-0.200	-0.200
80		8		0		|	-0.674	-0.659	-0.700	-0.753
81		8		1		|	-0.654	-0.590	-0.622	-0.643
82		8		2		|	-0.472	-0.489	-0.420	-0.505
83		8		3		|	-0.380	-0.319	-0.310	-0.254
84		8		4		|	-0.281	-0.299	-0.319	-0.247
85		8		5		|	-0.200	-0.210	-0.190	0.632
86		8		6		|	-0.200	-0.110	-0.200	-0.100
87		8		7		|	-0.190	-0.110	-0.200	-0.200
88		8		8		|	-0.300	-0.190	-0.200	-0.200
89		8		9		|	-0.300	-0.299	-0.290	-0.200
90		9		0		|	-0.674	-0.600	-0.600	-0.591
91		9		1		|	-0.564	-0.600	-0.599	-0.629
92		9		2		|	-0.473	-0.490	-0.519	-0.417
93		9		3		|	-0.390	-0.400	-0.409	-0.300
94		9		4		|	-0.290	-0.290	-0.300	-0.290
95		9		5		|	-0.290	-0.200	-0.200	-0.200
96		9		6		|	-0.200	-0.290	-0.200	-0.200
97		9		7		|	-0.110	-0.200	-0.190	-0.190
98		9		8		|	-0.200	-0.200	-0.190	-0.200
99		9		9		|	-0.200	-0.290	-0.281	-0.200

*************** Q table for run 3 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.408	-2.402	-2.391	-2.399
1		0		1		|	-2.401	-2.371	-2.398	-2.384
2		0		2		|	-2.327	-2.426	-2.322	-2.392
3		0		3		|	-2.050	-2.067	-2.140	-2.093
4		0		4		|	-1.731	-1.783	-1.746	-1.692
5		0		5		|	-1.444	-1.373	-1.519	-1.391
6		0		6		|	-1.153	-1.160	-1.238	-1.190
7		0		7		|	-0.907	-0.956	-1.018	-0.987
8		0		8		|	-0.755	-0.787	-0.853	-0.800
9		0		9		|	-0.700	-0.787	-0.725	-0.700
10		1		0		|	-2.497	-2.427	-2.494	-2.395
11		1		1		|	-2.496	-2.265	-2.471	-2.429
12		1		2		|	-2.557	1.245	-2.570	-2.519
13		1		3		|	-2.103	2.537	-2.110	-2.099
14		1		4		|	-1.695	-1.697	-1.782	-1.666
15		1		5		|	-1.276	0.505	-1.294	-1.324
16		1		6		|	-1.059	-1.066	-1.031	-1.023
17		1		7		|	-0.851	-0.818	-0.897	-0.825
18		1		8		|	-0.788	-0.742	-0.711	-0.722
19		1		9		|	-0.690	-0.770	-0.691	-0.709
20		2		0		|	-2.401	-2.332	-2.386	-2.417
21		2		1		|	1.905	-2.590	-2.581	-2.479
22		2		2		|	3.000	1.308	0.514	-1.097
23		2		3		|	2.391	4.000	1.350	0.460
24		2		4		|	4.862	-1.441	-1.487	-1.562
25		2		5		|	-1.017	5.994	-0.575	-1.174
26		2		6		|	-0.737	0.173	-0.909	-0.858
27		2		7		|	-0.689	-0.646	-0.746	-0.659
28		2		8		|	-0.599	-0.651	-0.603	-0.644
29		2		9		|	-0.600	-0.669	-0.607	-0.602
30		3		0		|	-2.073	-2.129	-2.096	-2.087
31		3		1		|	-2.211	-2.135	-2.122	-1.738
32		3		2		|	3.895	-2.040	-2.297	-2.169
33		3		3		|	5.000	3.047	1.956	2.243
34		3		4		|	6.000	5.240	3.707	2.625
35		3		5		|	4.924	7.000	4.232	3.932
36		3		6		|	-0.383	7.562	0.213	-0.441
37		3		7		|	-0.400	-0.462	-0.411	-0.552
38		3		8		|	-0.506	-0.569	-0.501	-0.419
39		3		9		|	-0.490	-0.554	-0.500	-0.510
40		4		0		|	-1.863	-1.809	-1.800	-1.832
41		4		1		|	-1.765	-1.723	-1.721	-1.741
42		4		2		|	-0.596	-1.452	-1.441	-1.177
43		4		3		|	5.470	-0.958	-0.999	-0.540
44		4		4		|	6.998	0.090	-0.186	0.226
45		4		5		|	6.961	8.000	5.416	4.910
46		4		6		|	-0.244	8.996	-0.281	1.461
47		4		7		|	-0.299	-0.281	1.125	-0.319
48		4		8		|	-0.400	-0.381	-0.440	-0.419
49		4		9		|	-0.400	-0.400	-0.483	-0.400
50		5		0		|	-1.446	-1.441	-1.395	-1.647
51		5		1		|	-1.360	-1.361	-1.334	-1.394
52		5		2		|	-1.019	-1.063	-1.035	-1.061
53		5		3		|	0.682	-0.560	-0.628	-0.706
54		5		4		|	7.391	0.325	-0.444	-0.454
55		5		5		|	9.000	8.277	4.580	6.310
56		5		6		|	4.914	10.000	7.121	6.518
57		5		7		|	-0.200	7.671	1.629	-0.110
58		5		8		|	-0.300	-0.291	-0.200	-0.317
59		5		9		|	-0.300	-0.388	-0.300	-0.309
60		6		0		|	-1.225	-1.231	-1.200	-1.248
61		6		1		|	-1.066	-1.104	-1.147	-1.137
62		6		2		|	-0.669	-0.752	-0.867	-0.790
63		6		3		|	1.438	-0.499	-0.421	-0.326
64		6		4		|	5.337	-0.100	-0.096	-0.197
65		6		5		|	9.929	0.011	0.000	0.800
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.293	9.657	1.126
68		6		8		|	-0.200	-0.209	-0.081	-0.210
69		6		9		|	-0.200	-0.200	-0.281	-0.291
70		7		0		|	-1.046	-1.024	-1.000	-1.114
71		7		1		|	-0.921	-0.947	-0.939	-0.957
72		7		2		|	-0.782	-0.772	-0.737	-0.736
73		7		3		|	-0.444	-0.424	-0.653	-0.337
74		7		4		|	-0.190	-0.200	-0.200	0.240
75		7		5		|	-0.100	-0.100	-0.200	2.034
76		7		6		|	-0.100	-0.100	-0.100	1.000
77		7		7		|	-0.200	-0.201	-0.190	1.530
78		7		8		|	-0.190	-0.200	-0.200	-0.209
79		7		9		|	-0.200	-0.200	-0.190	-0.200
80		8		0		|	-0.880	-0.863	-0.900	-0.952
81		8		1		|	-0.846	-0.786	-0.817	-0.838
82		8		2		|	-0.640	-0.679	-0.730	-0.746
83		8		3		|	-0.463	-0.499	-0.420	-0.500
84		8		4		|	-0.290	-0.300	-0.290	-0.298
85		8		5		|	-0.200	-0.210	-0.200	-0.240
86		8		6		|	-0.200	-0.200	-0.200	-0.100
87		8		7		|	-0.200	-0.209	-0.190	-0.190
88		8		8		|	-0.200	-0.200	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.200	-0.200
90		9		0		|	-0.764	-0.800	-0.800	-0.831
91		9		1		|	-0.760	-0.690	-0.702	-0.711
92		9		2		|	-0.634	-0.694	-0.633	-0.698
93		9		3		|	-0.478	-0.500	-0.528	-0.508
94		9		4		|	-0.381	-0.300	-0.402	-0.291
95		9		5		|	-0.300	-0.300	-0.290	-0.299
96		9		6		|	-0.299	-0.300	-0.300	-0.200
97		9		7		|	-0.290	-0.300	-0.300	-0.200
98		9		8		|	-0.200	-0.200	-0.291	-0.200
99		9		9		|	-0.200	-0.200	-0.200	-0.200

*************** Q table for run 4 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.566	-2.630	-2.591	-2.575
1		0		1		|	-2.537	-2.595	-2.571	-2.587
2		0		2		|	-2.403	-2.515	-2.419	-2.396
3		0		3		|	-2.153	-2.172	-2.258	-2.092
4		0		4		|	-1.775	-1.771	-1.832	-1.796
5		0		5		|	-1.405	-1.422	-1.400	-1.391
6		0		6		|	-1.130	-1.128	-1.146	-1.096
7		0		7		|	-0.942	-0.976	-0.910	-0.900
8		0		8		|	-0.857	-0.886	-0.833	-0.890
9		0		9		|	-0.792	-0.782	-0.835	-0.800
10		1		0		|	-2.697	-2.598	-2.600	-2.600
11		1		1		|	-2.068	-2.624	-2.716	-2.663
12		1		2		|	-2.554	1.326	-2.714	-2.534
13		1		3		|	-2.210	2.422	-2.243	-2.299
14		1		4		|	-1.720	-1.681	-1.682	-1.717
15		1		5		|	-1.255	-0.891	-1.301	-1.200
16		1		6		|	-0.986	-0.974	-0.935	-1.032
17		1		7		|	-0.847	-0.849	-0.889	-0.815
18		1		8		|	-0.764	-0.787	-0.711	-0.801
19		1		9		|	-0.700	-0.740	-0.688	-0.711
20		2		0		|	-2.511	-2.579	-2.585	-2.557
21		2		1		|	1.720	-2.783	-2.678	-2.988
22		2		2		|	3.000	2.229	-0.020	-1.079
23		2		3		|	2.478	4.000	1.634	0.202
24		2		4		|	-1.422	4.948	-1.272	-1.457
25		2		5		|	-0.934	5.422	-0.430	-0.941
26		2		6		|	-0.651	-0.306	-0.689	-0.645
27		2		7		|	-0.661	-0.653	-0.646	-0.732
28		2		8		|	-0.674	-0.662	-0.704	-0.642
29		2		9		|	-0.600	-0.663	-0.684	-0.625
30		3		0		|	-2.340	-2.271	-2.283	-2.380
31		3		1		|	-2.263	-2.254	-2.395	-1.721
32		3		2		|	3.963	-2.212	-2.371	-1.768
33		3		3		|	5.000	1.368	2.237	2.829
34		3		4		|	6.000	5.498	3.442	3.185
35		3		5		|	4.183	7.000	4.360	3.102
36		3		6		|	-0.466	7.281	-0.309	-0.312
37		3		7		|	-0.492	-0.436	0.338	-0.437
38		3		8		|	-0.502	-0.563	-0.580	-0.531
39		3		9		|	-0.500	-0.572	-0.591	-0.534
40		4		0		|	-1.876	-1.912	-1.898	-1.998
41		4		1		|	-1.801	-1.766	-1.869	-1.922
42		4		2		|	-1.086	-1.605	-1.631	-1.800
43		4		3		|	4.547	-1.079	-1.117	0.231
44		4		4		|	6.991	0.241	-0.533	0.015
45		4		5		|	6.475	8.000	4.769	5.685
46		4		6		|	-0.091	8.996	1.176	1.422
47		4		7		|	-0.390	-0.190	3.423	-0.219
48		4		8		|	-0.401	-0.381	-0.356	-0.429
49		4		9		|	-0.400	-0.390	-0.399	-0.527
50		5		0		|	-1.443	-1.577	-1.478	-1.540
51		5		1		|	-1.356	-1.427	-1.300	-1.419
52		5		2		|	-1.088	-1.067	-1.191	-1.202
53		5		3		|	0.360	-0.650	-0.729	-0.700
54		5		4		|	-0.246	7.225	-0.311	-0.326
55		5		5		|	9.000	8.090	4.508	5.399
56		5		6		|	2.509	10.000	6.986	7.359
57		5		7		|	-0.200	5.534	0.810	0.123
58		5		8		|	-0.381	-0.289	-0.200	-0.210
