*************** Q table for run 0 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.372	-2.424	-2.399	-2.291
1		0		1		|	-2.435	-2.467	-2.381	-2.382
2		0		2		|	-2.300	-2.363	-2.428	-2.299
3		0		3		|	-1.997	-2.071	-2.097	-2.087
4		0		4		|	-1.729	-1.684	-1.737	-1.683
5		0		5		|	-1.437	-1.459	-1.376	-1.391
6		0		6		|	-1.222	-1.228	-1.246	-1.292
7		0		7		|	-0.916	-0.951	-1.203	-0.993
8		0		8		|	-0.761	-0.781	-0.865	-0.800
9		0		9		|	-0.700	-0.687	-0.721	-0.700
10		1		0		|	-2.425	-2.403	-2.400	-2.402
11		1		1		|	-2.461	-2.090	-2.464	-2.477
12		1		2		|	-2.475	1.458	-2.586	-2.540
13		1		3		|	-2.042	-0.901	-2.096	-2.045
14		1		4		|	-1.620	-1.602	-1.641	-1.717
15		1		5		|	-1.281	-1.349	-1.285	-1.308
16		1		6		|	-0.984	-0.959	-1.027	-1.051
17		1		7		|	-0.829	-0.827	-0.880	-0.920
18		1		8		|	-0.667	-0.663	-0.727	-0.707
19		1		9		|	-0.600	-0.665	-0.602	-0.619
20		2		0		|	-2.397	-2.325	-2.297	-2.353
21		2		1		|	1.614	-2.556	-2.498	-2.531
22		2		2		|	1.926	3.000	-0.470	-0.507
23		2		3		|	-1.564	3.936	-1.652	-2.075
24		2		4		|	-1.416	4.532	-1.462	-1.461
25		2		5		|	-0.960	-1.009	-1.039	-1.066
26		2		6		|	-0.659	0.409	-0.653	-0.614
27		2		7		|	-0.545	-0.621	-0.618	-0.755
28		2		8		|	-0.510	-0.578	-0.588	-0.541
29		2		9		|	-0.500	-0.578	-0.501	-0.526
30		3		0		|	-2.141	-2.177	-2.199	-2.147
31		3		1		|	1.551	-2.152	-2.281	-2.102
32		3		2		|	4.000	0.848	-1.004	1.438
33		3		3		|	5.000	4.635	2.597	1.890
34		3		4		|	4.176	6.000	3.432	2.279
35		3		5		|	-0.218	6.475	0.857	-0.815
36		3		6		|	-0.374	3.957	-0.317	-0.327
37		3		7		|	-0.401	-0.369	-0.343	-0.449
38		3		8		|	-0.400	-0.472	-0.399	-0.529
39		3		9		|	-0.390	-0.390	-0.474	-0.411
40		4		0		|	-1.855	-1.772	-1.789	-1.885
41		4		1		|	-1.660	-1.732	-1.703	-1.812
42		4		2		|	3.661	-1.282	-1.428	-1.347
43		4		3		|	5.995	0.466	-1.107	-1.081
44		4		4		|	6.541	7.000	3.864	4.434
45		4		5		|	0.546	7.999	1.369	1.022
46		4		6		|	-0.276	8.924	0.605	-0.110
47		4		7		|	-0.200	-0.190	0.735	-0.227
48		4		8		|	-0.300	-0.386	-0.291	-0.327
49		4		9		|	-0.300	-0.300	-0.300	-0.300
50		5		0		|	-1.451	-1.482	-1.500	-1.548
51		5		1		|	-1.279	-1.352	-1.345	-1.407
52		5		2		|	0.754	-0.879	-1.061	-0.908
53		5		3		|	6.885	-0.551	-0.624	-0.578
54		5		4		|	8.000	5.607	5.288	5.387
55		5		5		|	9.000	8.293	6.526	6.481
56		5		6		|	2.478	10.000	7.291	7.357
57		5		7		|	-0.391	5.924	-0.100	-0.110
58		5		8		|	-0.300	-0.290	-0.264	-0.310
59		5		9		|	-0.390	-0.300	-0.300	-0.200
60		6		0		|	-1.220	-1.267	-1.200	-1.301
61		6		1		|	-1.080	-1.131	-1.128	-1.071
62		6		2		|	-0.755	-0.842	-0.864	-0.775
63		6		3		|	1.109	-0.496	-0.451	-0.434
64		6		4		|	8.324	-0.168	-0.230	-0.100
65		6		5		|	9.984	-0.189	0.444	0.718
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.181	9.114	0.000
68		6		8		|	-0.200	-0.200	-0.190	-0.210
69		6		9		|	-0.300	-0.300	-0.200	-0.200
70		7		0		|	-1.035	-1.030	-1.000	-1.155
71		7		1		|	-0.993	-0.938	-0.944	-0.924
72		7		2		|	-0.868	-0.763	-0.827	-0.755
73		7		3		|	-0.529	-0.680	-0.657	-0.513
74		7		4		|	-0.281	-0.309	-0.334	0.828
75		7		5		|	-0.190	-0.310	-0.207	1.922
76		7		6		|	-0.100	-0.100	-0.100	2.710
77		7		7		|	-0.100	-0.100	-0.100	0.859
78		7		8		|	-0.200	-0.200	-0.190	-0.200
79		7		9		|	-0.290	-0.300	-0.290	-0.200
80		8		0		|	-0.857	-0.883	-0.900	-0.954
81		8		1		|	-0.867	-0.816	-0.808	-0.850
82		8		2		|	-0.737	-0.794	-0.726	-0.744
83		8		3		|	-0.631	-0.608	-0.650	-0.602
84		8		4		|	-0.472	-0.409	-0.429	-0.391
85		8		5		|	-0.370	-0.300	-0.319	-0.290
86		8		6		|	-0.200	-0.200	-0.200	0.009
87		8		7		|	-0.200	-0.110	-0.200	-0.190
88		8		8		|	-0.300	-0.218	-0.200	-0.200
89		8		9		|	-0.300	-0.299	-0.300	-0.300
90		9		0		|	-0.844	-0.800	-0.800	-0.815
91		9		1		|	-0.773	-0.800	-0.791	-0.818
92		9		2		|	-0.747	-0.700	-0.717	-0.707
93		9		3		|	-0.562	-0.600	-0.613	-0.612
94		9		4		|	-0.480	-0.400	-0.401	-0.400
95		9		5		|	-0.381	-0.300	-0.309	-0.300
96		9		6		|	-0.290	-0.200	-0.290	-0.200
97		9		7		|	-0.200	-0.200	-0.200	-0.200
98		9		8		|	-0.291	-0.200	-0.190	-0.201
99		9		9		|	-0.290	-0.300	-0.281	-0.300

*************** Q table for run 6 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.534	-2.581	-2.597	-2.499
1		0		1		|	-2.587	-2.499	-2.552	-2.500
2		0		2		|	-2.414	-2.397	-2.490	-2.484
3		0		3		|	-2.196	-2.205	-2.178	-2.199
4		0		4		|	-1.838	-1.884	-1.838	-1.864
5		0		5		|	-1.484	-1.446	-1.513	-1.486
6		0		6		|	-1.225	-1.179	-1.155	-1.193
7		0		7		|	-1.076	-1.043	-1.009	-0.995
8		0		8		|	-0.934	-0.959	-0.965	-0.900
9		0		9		|	-0.900	-0.858	-0.935	-0.900
10		1		0		|	-2.575	-2.485	-2.480	-2.552
11		1		1		|	-2.555	-2.613	-2.543	-2.598
12		1		2		|	-2.785	0.721	-2.642	-2.607
13		1		3		|	-2.272	-1.707	-2.276	-2.306
14		1		4		|	-1.856	-1.787	-1.908	-1.798
15		1		5		|	-1.323	-1.263	-1.434	-1.334
16		1		6		|	-0.987	-0.468	-1.014	-1.123
17		1		7		|	-0.839	-0.905	-0.878	-0.931
18		1		8		|	-0.757	-0.752	-0.844	-0.812
19		1		9		|	-0.781	-0.736	-0.716	-0.819
20		2		0		|	-2.486	-2.529	-2.491	-2.497
21		2		1		|	-2.639	0.333	-2.748	-2.605
22		2		2		|	-0.074	3.000	-2.154	-1.689
23		2		3		|	-2.180	2.844	-1.427	-2.293
24		2		4		|	-1.505	-1.510	-1.626	-1.676
25		2		5		|	0.396	-0.967	-1.063	-0.947
26		2		6		|	-0.638	3.463	-0.755	-0.727
27		2		7		|	-0.588	-0.632	-0.150	-0.654
28		2		8		|	-0.592	-0.575	-0.607	-0.633
29		2		9		|	-0.599	-0.646	-0.601	-0.655
30		3		0		|	-1.840	-2.160	-2.190	-2.269
31		3		1		|	2.923	-2.197	-2.200	-2.270
32		3		2		|	2.730	4.000	1.157	1.450
33		3		3		|	-1.559	4.971	-0.385	-1.528
34		3		4		|	-0.451	-1.007	-0.554	-1.112
35		3		5		|	2.166	-0.567	-0.682	-0.651
36		3		6		|	-0.392	6.734	-0.309	-0.310
37		3		7		|	-0.399	-0.372	0.081	-0.433
38		3		8		|	-0.492	-0.458	-0.400	-0.420
39		3		9		|	-0.593	-0.481	-0.466	-0.540
40		4		0		|	-1.615	-1.759	-1.896	-1.890
41		4		1		|	3.785	-1.763	-1.696	-1.462
42		4		2		|	5.000	3.584	2.149	2.578
43		4		3		|	3.531	6.000	3.313	2.510
44		4		4		|	-0.579	6.418	-0.563	-0.574
45		4		5		|	0.927	-0.281	-0.325	-0.452
46		4		6		|	-0.200	8.683	-0.100	-0.205
47		4		7		|	-0.200	-0.190	-0.132	-0.219
48		4		8		|	-0.300	-0.380	-0.291	-0.336
49		4		9		|	-0.400	-0.390	-0.399	-0.312
50		5		0		|	-1.416	-1.414	-1.494	-1.539
51		5		1		|	0.228	-1.289	-1.359	-1.307
52		5		2		|	5.895	-0.879	-1.204	-0.120
53		5		3		|	6.213	7.000	3.537	4.476
54		5		4		|	-0.256	7.999	1.467	1.307
55		5		5		|	8.375	-0.100	0.573	-0.110
56		5		6		|	-0.140	9.996	0.000	0.666
57		5		7		|	-0.100	-0.190	1.937	0.000
58		5		8		|	-0.200	-0.200	-0.231	-0.210
59		5		9		|	-0.300	-0.300	-0.290	-0.310
60		6		0		|	-1.116	-1.059	-1.100	-1.160
61		6		1		|	-0.614	-0.905	-0.827	-0.911
62		6		2		|	6.181	-0.731	-0.529	-0.566
63		6		3		|	8.000	3.353	3.425	5.819
64		6		4		|	9.000	5.760	6.529	6.697
65		6		5		|	10.000	3.622	7.431	5.760
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.100	1.900	0.000
68		6		8		|	-0.200	-0.200	-0.100	-0.100
69		6		9		|	-0.200	-0.200	-0.200	-0.300
70		7		0		|	-0.860	-0.804	-0.894	-0.998
71		7		1		|	-0.728	-0.747	-0.814	-0.667
72		7		2		|	-0.523	-0.576	-0.539	-0.263
73		7		3		|	-0.271	-0.316	-0.219	6.160
74		7		4		|	0.216	-0.110	0.048	7.684
75		7		5		|	6.739	0.000	0.000	2.439
76		7		6		|	0.000	0.000	0.000	9.419
77		7		7		|	-0.100	-0.100	-0.100	0.000
78		7		8		|	-0.200	-0.200	-0.190	-0.100
79		7		9		|	-0.200	-0.200	-0.200	-0.200
80		8		0		|	-0.666	-0.677	-0.700	-0.763
81		8		1		|	-0.645	-0.585	-0.629	-0.638
82		8		2		|	-0.447	-0.483	-0.534	-0.529
83		8		3		|	-0.368	-0.300	-0.320	-0.301
84		8		4		|	-0.190	-0.210	-0.209	-0.166
85		8		5		|	-0.100	-0.100	-0.100	-0.100
86		8		6		|	-0.100	-0.100	-0.100	0.000
87		8		7		|	-0.200	-0.100	-0.100	-0.100
88		8		8		|	-0.200	-0.200	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.200	-0.200
90		9		0		|	-0.568	-0.590	-0.600	-0.619
91		9		1		|	-0.555	-0.500	-0.507	-0.534
92		9		2		|	-0.457	-0.391	-0.433	-0.418
93		9		3		|	-0.371	-0.300	-0.311	-0.308
94		9		4		|	-0.290	-0.300	-0.210	-0.290
95		9		5		|	-0.200	-0.200	-0.210	-0.100
96		9		6		|	-0.200	-0.100	-0.100	-0.100
97		9		7		|	-0.200	-0.100	-0.100	-0.100
98		9		8		|	-0.200	-0.200	-0.190	-0.200
99		9		9		|	-0.200	-0.200	-0.200	-0.200

*************** Q table for run 7 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.466	-2.431	-2.399	-2.400
1		0		1		|	-2.382	-2.460	-2.436	-2.391
2		0		2		|	-2.264	-1.994	-2.326	-2.291
3		0		3		|	-2.032	-1.981	-1.992	-1.991
4		0		4		|	-1.741	-1.694	-1.736	-1.672
5		0		5		|	-1.431	-1.461	-1.486	-1.391
6		0		6		|	-1.133	-1.135	-1.232	-1.200
7		0		7		|	-0.900	-0.963	-0.984	-0.900
8		0		8		|	-0.747	-0.775	-0.858	-0.800
9		0		9		|	-0.690	-0.669	-0.708	-0.600
10		1		0		|	-2.434	-2.438	-2.395	-2.418
11		1		1		|	-2.453	-2.389	-2.456	-2.510
12		1		2		|	-2.420	1.600	-2.397	-2.497
13		1		3		|	-2.037	-2.074	-2.093	-1.993
14		1		4		|	-1.637	-1.624	-1.601	-1.616
15		1		5		|	-1.294	-1.312	-1.268	-1.334
16		1		6		|	-0.986	-1.035	-1.006	-1.018
17		1		7		|	-0.830	-0.840	-0.881	-0.822
18		1		8		|	-0.696	-0.661	-0.729	-0.744
19		1		9		|	-0.690	-0.602	-0.683	-0.599
20		2		0		|	-2.371	-2.428	-2.390	-2.394
21		2		1		|	1.324	-2.479	-2.512	-2.522
22		2		2		|	1.087	3.000	-0.940	-0.362
23		2		3		|	3.604	-2.006	-1.417	-2.095
24		2		4		|	-1.414	4.965	-1.042	-1.449
25		2		5		|	-0.968	-0.005	-0.922	-1.080
26		2		6		|	-0.746	-0.368	-0.788	-0.741
27		2		7		|	-0.669	-0.648	-0.739	-0.643
28		2		8		|	-0.570	-0.581	-0.624	-0.534
29		2		9		|	-0.500	-0.571	-0.518	-0.525
30		3		0		|	-1.968	-2.185	-2.186	-2.266
31		3		1		|	2.366	-2.223	-2.370	-2.243
32		3		2		|	4.000	1.723	0.042	1.622
33		3		3		|	5.000	4.424	2.599	0.208
34		3		4		|	4.834	6.000	3.492	2.200
35		3		5		|	0.191	6.923	0.384	-0.668
36		3		6		|	-0.481	5.261	-0.320	-0.321
37		3		7		|	-0.490	-0.463	-0.382	-0.432
38		3		8		|	-0.482	-0.480	-0.499	-0.420
39		3		9		|	-0.500	-0.464	-0.499	-0.420
40		4		0		|	-1.927	-1.810	-1.800	-1.867
41		4		1		|	-1.580	-1.759	-1.828	-1.830
42		4		2		|	4.374	-1.505	-1.440	-1.040
43		4		3		|	5.989	-0.593	-0.010	0.311
44		4		4		|	7.000	6.081	3.210	4.688
45		4		5		|	7.166	8.000	5.492	4.754
46		4		6		|	-0.200	8.990	1.604	1.135
47		4		7		|	-0.300	-0.290	0.893	-0.210
48		4		8		|	-0.400	-0.381	-0.358	-0.310
49		4		9		|	-0.400	-0.390	-0.400	-0.329
50		5		0		|	-1.512	-1.458	-1.400	-1.519
51		5		1		|	-1.408	-1.351	-1.348	-1.406
52		5		2		|	-0.843	-1.056	-1.094	-1.167
53		5		3		|	3.256	-0.603	-0.655	-0.662
54		5		4		|	7.969	0.030	-0.175	1.375
55		5		5		|	9.000	7.873	5.948	6.570
56		5		6		|	5.317	10.000	7.777	7.414
57		5		7		|	-0.411	-0.081	8.157	-0.100
58		5		8		|	-0.299	-0.290	1.076	-0.310
59		5		9		|	-0.300	-0.300	-0.271	-0.310
60		6		0		|	-1.142	-1.149	-1.192	-1.246
61		6		1		|	-1.012	-1.028	-1.022	-1.028
62		6		2		|	-0.156	-0.668	-0.637	-0.680
63		6		3		|	2.485	-0.300	-0.320	-0.319
64		6		4		|	6.050	-0.100	-0.227	-0.100
65		6		5		|	9.903	-0.106	0.000	0.792
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.200	2.710	0.000
68		6		8		|	-0.200	-0.200	-0.090	-0.210
69		6		9		|	-0.300	-0.300	-0.200	-0.200
70		7		0		|	-0.964	-0.923	-0.891	-0.977
71		7		1		|	-0.901	-0.850	-0.833	-0.866
72		7		2		|	-0.689	-0.678	-0.722	-0.642
73		7		3		|	-0.378	-0.393	-0.535	-0.131
74		7		4		|	-0.190	-0.302	-0.210	-0.142
75		7		5		|	-0.100	-0.100	-0.100	1.641
76		7		6		|	-0.100	-0.110	-0.100	1.900
77		7		7		|	-0.200	-0.200	-0.190	-0.100
78		7		8		|	-0.200	-0.190	-0.200	-0.200
79		7		9		|	-0.300	-0.299	-0.200	-0.200
80		8		0		|	-0.784	-0.781	-0.800	-0.845
81		8		1		|	-0.751	-0.695	-0.700	-0.732
82		8		2		|	-0.647	-0.599	-0.627	-0.642
83		8		3		|	-0.466	-0.501	-0.427	-0.489
84		8		4		|	-0.290	-0.324	-0.309	-0.371
85		8		5		|	-0.200	-0.209	-0.210	-0.100
86		8		6		|	-0.200	-0.110	-0.200	-0.090
87		8		7		|	-0.110	-0.200	-0.190	-0.200
88		8		8		|	-0.200	-0.110	-0.100	-0.200
89		8		9		|	-0.200	-0.200	-0.190	-0.200
90		9		0		|	-0.689	-0.700	-0.700	-0.708
91		9		1		|	-0.674	-0.600	-0.676	-0.603
92		9		2		|	-0.578	-0.600	-0.607	-0.611
93		9		3		|	-0.472	-0.500	-0.519	-0.501
94		9		4		|	-0.373	-0.300	-0.402	-0.300
95		9		5		|	-0.290	-0.200	-0.281	-0.200
96		9		6		|	-0.200	-0.200	-0.200	-0.200
97		9		7		|	-0.200	-0.200	-0.190	-0.200
98		9		8		|	-0.200	-0.200	-0.200	-0.100
99		9		9		|	-0.190	-0.200	-0.190	-0.190

*************** Q table for run 8 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.473	-2.513	-2.494	-2.495
1		0		1		|	-2.495	-2.476	-2.454	-2.474
2		0		2		|	-2.332	-2.394	-2.441	-2.467
3		0		3		|	-2.121	-2.066	-2.113	-2.088
4		0		4		|	-1.805	-1.771	-1.846	-1.791
5		0		5		|	-1.510	-1.527	-1.490	-1.500
6		0		6		|	-1.156	-1.223	-1.242	-1.200
7		0		7		|	-0.976	-1.052	-0.978	-0.994
8		0		8		|	-0.944	-0.870	-0.966	-0.900
9		0		9		|	-0.900	-0.895	-0.911	-0.900
10		1		0		|	-2.505	-2.506	-2.474	-2.506
11		1		1		|	-1.737	-2.556	-2.530	-2.497
12		1		2		|	-2.548	1.736	-2.772	-2.510
13		1		3		|	-2.128	-0.557	-2.208	-2.138
14		1		4		|	-1.710	-1.691	-1.811	-1.765
15		1		5		|	-1.326	-1.367	-1.408	-1.435
16		1		6		|	-1.076	-0.943	-1.003	-1.020
17		1		7		|	-0.912	-0.918	-0.984	-0.912
18		1		8		|	-0.788	-0.764	-0.846	-0.845
19		1		9		|	-0.800	-0.764	-0.807	-0.846
20		2		0		|	-2.454	-2.458	-2.474	-2.470
21		2		1		|	-2.641	0.684	-2.785	-2.649
22		2		2		|	2.587	3.000	-1.597	-0.094
23		2		3		|	-2.108	3.985	-1.804	-2.241
24		2		4		|	-1.509	-0.484	-1.509	-1.555
25		2		5		|	-1.016	-1.059	-1.053	-1.180
26		2		6		|	-0.661	1.027	-0.768	-0.645
27		2		7		|	-0.673	-0.645	-0.671	-0.748
28		2		8		|	-0.696	-0.655	-0.714	-0.647
29		2		9		|	-0.590	-0.579	-0.702	-0.706
30		3		0		|	-1.296	-2.079	-2.092	-2.163
31		3		1		|	2.870	-2.174	-2.199	-2.066
32		3		2		|	4.000	2.826	0.768	1.735
33		3		3		|	3.291	5.000	2.636	2.264
34		3		4		|	-1.034	5.603	-1.161	-1.245
35		3		5		|	0.319	-0.679	-0.661	-0.678
36		3		6		|	-0.479	4.576	-0.308	-0.302
37		3		7		|	-0.487	-0.456	-0.058	-0.444
38		3		8		|	-0.490	-0.481	-0.499	-0.551
39		3		9		|	-0.490	-0.390	-0.501	-0.509
40		4		0		|	-1.777	-1.797	-1.791	-1.778
41		4		1		|	0.144	-1.697	-1.755	-1.719
42		4		2		|	4.973	-0.837	-1.533	-0.816
43		4		3		|	5.085	6.000	3.429	3.679
44		4		4		|	-0.140	6.999	-0.675	0.408
45		4		5		|	3.484	-0.178	-0.323	-0.419
46		4		6		|	-0.260	8.163	-0.110	0.080
47		4		7		|	-0.301	-0.281	0.666	-0.219
48		4		8		|	-0.400	-0.390	-0.300	-0.319
49		4		9		|	-0.400	-0.390	-0.400	-0.310
50		5		0		|	-1.314	-1.359	-1.400	-1.549
51		5		1		|	-1.128	-1.028	-1.237	-1.221
52		5		2		|	-0.818	4.345	-0.991	-0.693
53		5		3		|	7.000	6.716	1.568	4.463
54		5		4		|	6.681	8.000	5.546	5.683
55		5		5		|	8.926	0.810	0.700	0.536
56		5		6		|	-0.199	9.998	0.791	0.000
57		5		7		|	-0.290	1.581	-0.100	-0.110
58		5		8		|	-0.300	-0.289	-0.272	-0.200
59		5		9		|	-0.300	-0.300	-0.300	-0.310
60		6		0		|	-0.937	-0.958	-1.000	-1.042
61		6		1		|	0.930	-0.733	-0.708	-0.800
62		6		2		|	6.615	-0.373	-0.455	-0.601
63		6		3		|	8.000	0.371	0.329	0.400
64		6		4		|	9.000	4.048	6.478	6.705
65		6		5		|	10.000	6.536	7.236	6.601
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.100	6.126	0.000
68		6		8		|	-0.200	-0.200	0.009	-0.100
69		6		9		|	-0.300	-0.290	-0.200	-0.200
70		7		0		|	-0.680	-0.740	-0.698	-0.800
71		7		1		|	-0.564	-0.572	-0.610	-0.648
72		7		2		|	-0.372	-0.398	-0.417	-0.400
73		7		3		|	-0.279	-0.300	-0.227	3.849
74		7		4		|	6.836	-0.295	-0.092	1.393
75		7		5		|	-0.090	-0.201	0.114	8.931
76		7		6		|	-0.100	-0.100	-0.100	1.900
77		7		7		|	-0.200	-0.100	-0.100	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.200
79		7		9		|	-0.200	-0.200	-0.200	-0.200
80		8		0		|	-0.576	-0.599	-0.500	-0.601
81		8		1		|	-0.471	-0.599	-0.517	-0.535
82		8		2		|	-0.463	-0.400	-0.417	-0.390
83		8		3		|	-0.373	-0.308	-0.318	-0.103
84		8		4		|	-0.281	-0.209	-0.328	0.472
85		8		5		|	-0.200	-0.210	-0.205	-0.190
86		8		6		|	-0.200	-0.209	-0.100	-0.190
87		8		7		|	-0.200	-0.200	-0.200	-0.100
88		8		8		|	-0.200	-0.209	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.200	-0.100
90		9		0		|	-0.582	-0.500	-0.500	-0.500
91		9		1		|	-0.577	-0.500	-0.500	-0.511
92		9		2		|	-0.472	-0.400	-0.410	-0.489
93		9		3		|	-0.380	-0.390	-0.409	-0.301
94		9		4		|	-0.290	-0.290	-0.300	-0.290
95		9		5		|	-0.290	-0.300	-0.300	-0.200
96		9		6		|	-0.200	-0.200	-0.271	-0.200
97		9		7		|	-0.200	-0.200	-0.200	-0.200
98		9		8		|	-0.200	-0.200	-0.281	-0.200
99		9		9		|	-0.200	-0.200	-0.290	-0.100

*************** Q table for run 9 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.380	-2.419	-2.383	-2.391
1		0		1		|	-2.405	-2.366	-2.362	-2.370
2		0		2		|	-2.351	-2.411	-2.322	-2.392
3		0		3		|	-2.010	-2.103	-2.174	-2.076
4		0		4		|	-1.739	-1.695	-1.704	-1.694
5		0		5		|	-1.447	-1.449	-1.475	-1.400
6		0		6		|	-1.214	-1.256	-1.238	-1.200
7		0		7		|	-1.009	-1.075	-1.111	-0.988
8		0		8		|	-1.020	-0.964	-0.977	-0.992
9		0		9		|	-0.900	-0.971	-0.921	-0.900
10		1		0		|	-2.356	-2.422	-2.391	-2.389
11		1		1		|	-2.458	-2.377	-2.375	-2.421
12		1		2		|	-2.492	1.082	-2.504	-2.519
13		1		3		|	-2.059	-1.384	-2.105	-2.106
14		1		4		|	-1.674	-1.429	-1.728	-1.628
15		1		5		|	-1.365	-1.371	-1.393	-1.342
16		1		6		|	-1.155	-1.088	-1.137	-1.116
17		1		7		|	-1.007	-0.930	-0.983	-1.021
18		1		8		|	-0.853	-0.918	-0.839	-1.003
19		1		9		|	-0.900	-0.839	-0.920	-0.824
20		2		0		|	-2.293	-2.332	-2.378	-2.360
21		2		1		|	-2.473	1.086	-2.665	-2.410
22		2		2		|	2.280	3.000	-1.011	-1.341
23		2		3		|	-1.151	3.974	-1.756	-2.188
24		2		4		|	-1.531	4.506	-1.088	-1.468
25		2		5		|	-1.119	-0.816	-1.180	-1.165
26		2		6		|	-0.846	-0.098	-0.775	-0.853
27		2		7		|	-0.751	-0.735	-0.758	-0.848
28		2		8		|	-0.677	-0.739	-0.726	-0.756
29		2		9		|	-0.776	-0.650	-0.699	-0.749
30		3		0		|	-1.724	-2.106	-2.186	-2.145
31		3		1		|	2.886	-2.091	-2.280	-1.982
32		3		2		|	4.000	0.168	0.204	1.435
33		3		3		|	5.000	3.651	2.643	2.357
34		3		4		|	1.440	6.000	3.780	2.249
35		3		5		|	4.413	-0.298	-0.902	-0.792
36		3		6		|	-0.665	7.156	-0.537	-0.643
37		3		7		|	-0.591	-0.538	0.126	-0.548
38		3		8		|	-0.501	-0.555	-0.596	-0.549
39		3		9		|	-0.490	-0.473	-0.503	-0.544
40		4		0		|	-1.745	-1.761	-1.800	-1.733
41		4		1		|	-1.613	-1.667	-1.687	-1.370
42		4		2		|	3.574	-1.414	-1.474	-1.510
43		4		3		|	-0.900	5.959	-0.655	0.765
44		4		4		|	4.754	7.000	3.934	4.466
45		4		5		|	7.308	-0.281	-0.438	-0.471
46		4		6		|	-0.252	8.977	-0.100	-0.110
47		4		7		|	-0.300	-0.289	1.514	-0.338
48		4		8		|	-0.400	-0.381	-0.394	-0.310
49		4		9		|	-0.473	-0.381	-0.400	-0.319
50		5		0		|	-1.419	-1.406	-1.400	-1.391
51		5		1		|	-1.239	-1.229	-1.320	-1.317
52		5		2		|	-0.865	-0.459	-0.957	-0.950
53		5		3		|	6.998	0.209	-0.541	-0.349
54		5		4		|	5.041	8.000	4.912	5.539
55		5		5		|	8.731	0.810	1.241	-0.110
56		5		6		|	-0.136	10.000	0.000	0.795
57		5		7		|	-0.200	2.220	-0.100	-0.100
58		5		8		|	-0.301	-0.272	-0.200	-0.210
59		5		9		|	-0.300	-0.381	-0.300	-0.210
60		6		0		|	-1.024	-1.055	-1.096	-1.024
61		6		1		|	-0.517	-0.883	-0.819	-0.924
62		6		2		|	2.948	-0.661	-0.519	-0.567
63		6		3		|	7.886	-0.200	-0.206	-0.211
64		6		4		|	9.000	3.976	6.111	6.603
65		6		5		|	10.000	3.618	6.518	5.839
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.100	6.513	0.001
68		6		8		|	-0.200	-0.200	0.317	-0.100
69		6		9		|	-0.390	-0.290	-0.290	-0.210
70		7		0		|	-0.848	-0.815	-0.799	-0.763
71		7		1		|	-0.728	-0.730	-0.708	-0.794
72		7		2		|	-0.462	-0.490	-0.544	-0.221
73		7		3		|	-0.257	-0.301	-0.319	0.277
74		7		4		|	-0.100	-0.210	-0.210	7.074
75		7		5		|	-0.100	-0.100	0.496	7.268
76		7		6		|	-0.100	-0.100	-0.100	0.000
77		7		7		|	-0.100	-0.100	-0.100	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.100
79		7		9		|	-0.200	-0.200	-0.200	-0.210
80		8		0		|	-0.688	-0.666	-0.600	-0.641
81		8		1		|	-0.649	-0.596	-0.587	-0.653
82		8		2		|	-0.472	-0.492	-0.529	-0.522
83		8		3		|	-0.381	-0.300	-0.318	-0.299
84		8		4		|	-0.290	-0.200	-0.210	-0.214
85		8		5		|	-0.200	-0.210	-0.200	0.097
86		8		6		|	-0.200	-0.110	-0.200	-0.100
87		8		7		|	-0.200	-0.200	-0.100	-0.100
88		8		8		|	-0.200	-0.200	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.200	-0.200
90		9		0		|	-0.590	-0.600	-0.590	-0.626
91		9		1		|	-0.580	-0.500	-0.585	-0.511
92		9		2		|	-0.479	-0.500	-0.493	-0.502
93		9		3		|	-0.300	-0.300	-0.401	-0.300
94		9		4		|	-0.290	-0.200	-0.200	-0.200
95		9		5		|	-0.290	-0.200	-0.200	-0.200
96		9		6		|	-0.190	-0.190	-0.200	-0.200
97		9		7		|	-0.200	-0.200	-0.190	-0.100
98		9		8		|	-0.200	-0.200	-0.200	-0.200
99		9		9		|	-0.200	-0.290	-0.200	-0.200

