*************** Q table for run 0 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
7		0		7		|	-0.897	-0.879	-0.990	-0.896
8		0		8		|	-0.837	-0.789	-0.752	-0.800
9		0		9		|	-0.700	-0.773	-0.726	-0.700
10		1		0		|	-2.564	-2.489	-2.486	-2.579
11		1		1		|	-2.296	-2.571	-2.561	-2.592
12		1		2		|	-2.582	1.429	-2.907	-2.599
13		1		3		|	-2.209	-2.164	-2.260	-2.199
14		1		4		|	-1.777	-1.771	-1.801	-1.725
15		1		5		|	-1.257	-1.255	-1.436	-1.404
16		1		6		|	-0.913	-0.154	-1.033	-0.930
17		1		7		|	-0.828	-0.756	-0.759	-0.819
18		1		8		|	-0.691	-0.742	-0.720	-0.723
19		1		9		|	-0.690	-0.669	-0.706	-0.625
20		2		0		|	-2.153	-2.392	-2.399	-2.457
21		2		1		|	-2.132	1.527	-2.780	-2.608
22		2		2		|	-1.180	3.000	-0.385	-0.763
23		2		3		|	-2.177	1.807	-2.209	-2.301
24		2		4		|	-1.457	-1.390	-1.653	-1.564
25		2		5		|	-0.598	-0.912	-0.938	-0.949
26		2		6		|	-0.725	2.511	-0.547	-0.744
27		2		7		|	-0.568	-0.619	-0.573	-0.654
28		2		8		|	-0.601	-0.473	-0.618	-0.537
29		2		9		|	-0.563	-0.561	-0.597	-0.519
30		3		0		|	-1.426	-2.144	-2.097	-2.170
31		3		1		|	2.962	-1.315	-2.345	-1.860
32		3		2		|	2.023	4.000	0.945	1.585
33		3		3		|	-1.396	4.612	-1.028	-1.618
34		3		4		|	-0.922	0.408	-1.066	-0.996
35		3		5		|	0.758	-0.571	-0.547	-0.647
36		3		6		|	-0.281	5.725	-0.389	-0.159
37		3		7		|	-0.300	-0.335	0.172	-0.327
38		3		8		|	-0.399	-0.381	-0.300	-0.319
39		3		9		|	-0.399	-0.480	-0.391	-0.401
40		4		0		|	-1.044	-1.685	-1.679	-1.748
41		4		1		|	3.610	-1.231	-1.694	-1.699
42		4		2		|	2.980	5.000	1.284	2.498
43		4		3		|	-0.096	5.962	-1.056	-0.828
44		4		4		|	-0.475	4.137	-0.550	-0.568
45		4		5		|	2.480	-0.290	-0.221	-0.298
46		4		6		|	-0.200	8.451	-0.056	-0.110
47		4		7		|	-0.200	-0.190	1.515	-0.120
48		4		8		|	-0.300	-0.290	-0.290	-0.210
49		4		9		|	-0.300	-0.300	-0.381	-0.319
50		5		0		|	-1.325	-1.267	-1.295	-1.257
51		5		1		|	4.844	-1.078	-1.128	-0.875
52		5		2		|	4.892	6.000	3.331	3.453
53		5		3		|	0.132	7.000	0.294	0.035
54		5		4		|	0.189	7.921	0.412	-0.007
55		5		5		|	8.385	0.810	0.612	-0.039
56		5		6		|	-0.195	9.991	-0.162	0.456
57		5		7		|	-0.200	-0.100	-0.190	-0.059
58		5		8		|	-0.300	-0.200	-0.276	-0.100
59		5		9		|	-0.300	-0.300	-0.290	-0.200
60		6		0		|	-0.927	-0.906	-0.899	-0.914
61		6		1		|	5.099	-0.890	-0.728	-0.692
62		6		2		|	7.000	2.223	2.546	4.405
63		6		3		|	8.000	4.284	5.776	4.519
64		6		4		|	9.000	4.783	6.636	6.281
65		6		5		|	10.000	4.962	7.661	6.027
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.100	2.710	0.000
68		6		8		|	-0.200	-0.200	0.009	-0.100
69		6		9		|	-0.300	-0.290	-0.289	-0.200
70		7		0		|	-0.760	-0.770	-0.700	-0.746
71		7		1		|	-0.166	-0.653	-0.708	-0.757
72		7		2		|	-0.457	-0.492	-0.538	5.127
73		7		3		|	-0.281	-0.443	-0.325	6.545
74		7		4		|	-0.190	-0.414	-0.210	7.352
75		7		5		|	-0.100	-0.110	-0.100	8.142
76		7		6		|	-0.200	-0.100	-0.100	0.000
77		7		7		|	-0.200	-0.100	-0.190	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.200
79		7		9		|	-0.200	-0.200	-0.200	-0.300
80		8		0		|	-0.670	-0.698	-0.600	-0.640
81		8		1		|	-0.551	-0.588	-0.610	-0.642
82		8		2		|	-0.481	-0.497	-0.420	-0.430
83		8		3		|	-0.389	-0.399	-0.419	0.692
84		8		4		|	-0.290	-0.318	-0.409	0.218
85		8		5		|	-0.190	-0.200	-0.200	0.622
86		8		6		|	-0.200	-0.210	-0.190	-0.100
87		8		7		|	-0.200	-0.210	-0.190	-0.100
88		8		8		|	-0.200	-0.200	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.200	-0.200
90		9		0		|	-0.678	-0.681	-0.600	-0.600
91		9		1		|	-0.573	-0.600	-0.584	-0.622
92		9		2		|	-0.473	-0.500	-0.510	-0.401
93		9		3		|	-0.463	-0.400	-0.309	-0.407
94		9		4		|	-0.390	-0.300	-0.310	-0.373
95		9		5		|	-0.290	-0.300	-0.300	-0.272
96		9		6		|	-0.290	-0.290	-0.300	-0.200
97		9		7		|	-0.200	-0.300	-0.300	-0.200
98		9		8		|	-0.200	-0.200	-0.200	-0.200
99		9		9		|	-0.290	-0.200	-0.200	-0.200

*************** Q table for run 2 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.584	-2.620	-2.575	-2.589
1		0		1		|	-2.650	-2.608	-2.573	-2.600
2		0		2		|	-2.555	-2.634	-2.564	-2.600
3		0		3		|	-2.269	-2.309	-2.403	-2.382
4		0		4		|	-1.857	-1.797	-2.093	-1.878
5		0		5		|	-1.493	-1.457	-1.510	-1.500
6		0		6		|	-1.203	-1.208	-1.140	-1.200
7		0		7		|	-0.992	-1.048	-1.001	-0.998
8		0		8		|	-0.841	-0.774	-0.887	-0.800
9		0		9		|	-0.691	-0.773	-0.727	-0.691
10		1		0		|	-2.582	-2.675	-2.583	-2.590
11		1		1		|	-2.638	-1.992	-2.613	-2.666
12		1		2		|	-2.731	1.756	-2.751	-2.742
13		1		3		|	-2.277	-2.285	-1.733	-2.307
14		1		4		|	-1.815	-1.779	-1.835	-1.804
15		1		5		|	-1.377	-1.335	-1.432	-1.337
16		1		6		|	-1.076	-0.851	-1.025	-1.030
17		1		7		|	-0.916	-0.908	-0.885	-0.921
18		1		8		|	-0.677	-0.767	-0.857	-0.716
19		1		9		|	-0.700	-0.663	-0.704	-0.628
20		2		0		|	-1.881	-2.517	-2.586	-2.601
21		2		1		|	1.903	-2.640	-2.786	-2.757
22		2		2		|	-0.313	3.000	0.472	0.008
23		2		3		|	-2.188	2.354	-1.396	-2.332
24		2		4		|	-1.532	-1.262	-1.640	-1.546
25		2		5		|	-0.994	-0.755	-1.085	-1.058
26		2		6		|	-0.644	0.797	-0.917	-0.739
27		2		7		|	-0.663	-0.638	-0.640	-0.644
28		2		8		|	-0.589	-0.627	-0.617	-0.633
29		2		9		|	-0.590	-0.564	-0.603	-0.527
30		3		0		|	-1.565	-2.278	-2.298	-2.265
31		3		1		|	2.751	-2.031	-2.454	-2.113
32		3		2		|	3.391	4.000	1.081	1.422
33		3		3		|	-1.223	4.988	-0.660	-1.720
34		3		4		|	-0.785	5.374	-1.180	-1.214
35		3		5		|	1.799	-0.607	-0.687	-0.635
36		3		6		|	-0.282	5.457	-0.412	-0.492
37		3		7		|	-0.400	-0.371	0.309	-0.335
38		3		8		|	-0.498	-0.473	-0.470	-0.425
39		3		9		|	-0.490	-0.471	-0.499	-0.429
40		4		0		|	-1.961	-1.988	-1.971	-1.963
41		4		1		|	2.369	-1.827	-1.922	-1.893
42		4		2		|	5.000	2.680	-0.444	1.945
43		4		3		|	6.000	4.955	3.107	2.906
44		4		4		|	4.933	7.000	4.353	2.916
45		4		5		|	1.125	7.355	-0.035	-0.309
46		4		6		|	-0.200	8.325	-0.180	-0.100
47		4		7		|	-0.200	-0.190	0.090	-0.221
48		4		8		|	-0.299	-0.380	-0.291	-0.335
49		4		9		|	-0.300	-0.290	-0.376	-0.312
50		5		0		|	-1.525	-1.569	-1.600	-1.746
51		5		1		|	-1.331	-1.400	-1.435	-1.403
52		5		2		|	5.330	-0.977	-1.041	-1.023
53		5		3		|	6.994	-0.627	-0.641	0.866
54		5		4		|	6.846	8.000	4.792	5.439
55		5		5		|	8.993	3.029	0.601	-0.042
56		5		6		|	0.231	10.000	1.109	0.717
57		5		7		|	-0.100	-0.090	3.567	-0.109
58		5		8		|	-0.200	-0.200	-0.262	-0.200
59		5		9		|	-0.200	-0.200	-0.290	-0.210
60		6		0		|	-1.175	-1.171	-1.196	-1.239
61		6		1		|	-0.519	-0.934	-0.937	-1.040
62		6		2		|	2.475	-0.664	-0.731	-0.243
63		6		3		|	7.719	-0.496	-0.277	0.314
64		6		4		|	9.000	5.508	5.781	5.666
65		6		5		|	10.000	6.422	7.417	6.795
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.110	-0.100	1.900	0.000
68		6		8		|	-0.200	-0.200	-0.190	-0.100
69		6		9		|	-0.200	-0.200	-0.190	-0.200
70		7		0		|	-0.960	-0.930	-0.900	-0.960
71		7		1		|	-0.824	-0.776	-0.812	-0.872
72		7		2		|	-0.650	-0.684	-0.627	-0.538
73		7		3		|	-0.445	-0.416	-0.553	-0.347
74		7		4		|	0.371	-0.300	-0.211	7.620
75		7		5		|	-0.090	-0.210	-0.100	8.613
76		7		6		|	-0.100	-0.100	-0.100	1.900
77		7		7		|	-0.200	-0.100	-0.100	-0.100
78		7		8		|	-0.200	-0.110	-0.190	-0.200
79		7		9		|	-0.200	-0.200	-0.200	-0.200
80		8		0		|	-0.792	-0.781	-0.800	-0.825
81		8		1		|	-0.744	-0.689	-0.700	-0.729
82		8		2		|	-0.564	-0.600	-0.606	-0.620
83		8		3		|	-0.480	-0.400	-0.409	-0.476
84		8		4		|	-0.379	-0.302	-0.300	-0.351
85		8		5		|	-0.290	-0.200	-0.200	-0.238
86		8		6		|	-0.200	-0.200	-0.190	-0.190
87		8		7		|	-0.200	-0.110	-0.200	-0.100
88		8		8		|	-0.200	-0.209	-0.200	-0.100
89		8		9		|	-0.190	-0.200	-0.190	-0.190
90		9		0		|	-0.695	-0.681	-0.698	-0.727
91		9		1		|	-0.673	-0.600	-0.600	-0.685
92		9		2		|	-0.589	-0.600	-0.608	-0.501
93		9		3		|	-0.481	-0.500	-0.410	-0.499
94		9		4		|	-0.308	-0.400	-0.400	-0.399
95		9		5		|	-0.299	-0.300	-0.310	-0.200
96		9		6		|	-0.200	-0.200	-0.291	-0.200
97		9		7		|	-0.200	-0.200	-0.200	-0.100
98		9		8		|	-0.200	-0.200	-0.190	-0.200
99		9		9		|	-0.200	-0.200	-0.190	-0.200

*************** Q table for run 3 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.478	-2.409	-2.572	-2.391
1		0		1		|	-2.446	-2.376	-2.372	-2.400
2		0		2		|	-2.400	-2.401	-2.307	-2.393
3		0		3		|	-2.178	-2.038	-2.102	-2.100
4		0		4		|	-1.726	-1.708	-1.853	-1.684
5		0		5		|	-1.358	-1.434	-1.370	-1.400
6		0		6		|	-1.066	-1.133	-1.108	-0.995
7		0		7		|	-0.923	-0.878	-0.988	-0.900
8		0		8		|	-0.659	-0.700	-0.856	-0.700
9		0		9		|	-0.600	-0.675	-0.602	-0.600
10		1		0		|	-2.357	-2.430	-2.394	-2.485
11		1		1		|	-2.452	-1.877	-2.435	-2.391
12		1		2		|	-2.422	1.899	-2.625	-2.561
13		1		3		|	-1.618	2.446	-1.859	-2.111
14		1		4		|	-1.610	3.676	-1.417	-1.635
15		1		5		|	-1.267	-1.247	-1.241	-1.251
16		1		6		|	-0.931	-0.423	-0.869	-0.934
17		1		7		|	-0.782	-0.741	-0.821	-0.814
18		1		8		|	-0.690	-0.695	-0.700	-0.608
19		1		9		|	-0.600	-0.581	-0.672	-0.600
20		2		0		|	-2.394	-2.418	-2.400	-2.414
21		2		1		|	1.507	-2.570	-2.636	-2.515
22		2		2		|	3.000	0.909	-0.671	0.548
23		2		3		|	4.000	3.282	1.326	0.360
24		2		4		|	1.458	5.000	2.648	1.743
25		2		5		|	-0.913	4.497	-1.045	-1.044
26		2		6		|	-0.665	2.742	-0.641	-0.650
27		2		7		|	-0.563	-0.556	-0.632	-0.651
28		2		8		|	-0.593	-0.589	-0.606	-0.535
29		2		9		|	-0.581	-0.558	-0.602	-0.515
30		3		0		|	-2.155	-2.150	-2.096	-2.132
31		3		1		|	-2.118	-2.127	-2.136	-1.871
32		3		2		|	3.375	-2.044	-2.033	-2.055
33		3		3		|	4.996	-1.048	-1.408	-1.041
34		3		4		|	5.475	6.000	3.267	3.653
35		3		5		|	6.991	2.045	-0.684	-0.535
36		3		6		|	-0.463	8.000	0.854	-0.270
37		3		7		|	-0.484	0.297	0.502	-0.321
38		3		8		|	-0.498	-0.561	-0.416	-0.427
39		3		9		|	-0.400	-0.482	-0.401	-0.502
40		4		0		|	-1.749	-1.810	-1.773	-1.842
41		4		1		|	-1.684	-1.722	-1.726	-1.779
42		4		2		|	-0.789	-1.503	-1.464	-1.627
43		4		3		|	4.735	-0.938	-1.127	-1.061
44		4		4		|	7.000	5.245	1.852	4.345
45		4		5		|	8.000	7.492	5.678	4.994
46		4		6		|	5.037	9.000	6.570	6.097
47		4		7		|	-0.392	0.229	7.461	-0.219
48		4		8		|	-0.390	-0.381	-0.382	-0.420
49		4		9		|	-0.400	-0.381	-0.399	-0.319
50		5		0		|	-1.520	-1.446	-1.495	-1.485
51		5		1		|	-1.351	-1.361	-1.327	-1.412
52		5		2		|	-1.063	-1.091	-1.062	-1.177
53		5		3		|	1.304	-0.617	-0.668	-0.706
54		5		4		|	7.525	0.217	-0.391	0.862
55		5		5		|	8.999	2.144	0.449	1.330
56		5		6		|	3.313	10.000	7.355	6.508
57		5		7		|	-0.200	6.664	1.629	-0.110
58		5		8		|	-0.300	-0.271	-0.200	-0.210
59		5		9		|	-0.300	-0.290	-0.300	-0.210
60		6		0		|	-1.128	-1.176	-1.200	-1.249
61		6		1		|	-1.041	-1.053	-1.018	-1.008
62		6		2		|	-0.446	-0.657	-0.739	-0.659
63		6		3		|	1.592	-0.492	-0.337	-0.327
64		6		4		|	5.575	-0.100	-0.110	-0.100
65		6		5		|	9.282	0.000	0.000	0.000
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.151	-0.100	9.354	0.509
68		6		8		|	-0.100	-0.100	0.969	-0.100
69		6		9		|	-0.200	-0.200	-0.199	-0.100
70		7		0		|	-1.048	-1.015	-0.969	-0.987
71		7		1		|	-0.827	-0.830	-1.027	-0.884
72		7		2		|	-0.631	-0.676	-0.642	-0.619
73		7		3		|	-0.446	-0.494	-0.436	-0.341
74		7		4		|	-0.190	-0.200	-0.210	0.167
75		7		5		|	-0.100	-0.100	-0.100	0.865
76		7		6		|	-0.100	-0.100	-0.100	0.000
77		7		7		|	-0.100	-0.100	-0.100	-0.100
78		7		8		|	-0.100	-0.100	-0.100	-0.100
79		7		9		|	-0.200	-0.100	-0.100	-0.100
80		8		0		|	-0.783	-0.858	-0.800	-0.862
81		8		1		|	-0.745	-0.798	-0.708	-0.735
82		8		2		|	-0.628	-0.588	-0.646	-0.615
83		8		3		|	-0.449	-0.498	-0.429	-0.506
84		8		4		|	-0.290	-0.319	-0.346	-0.290
85		8		5		|	-0.200	-0.210	-0.210	-0.247
86		8		6		|	-0.200	-0.200	-0.200	-0.100
87		8		7		|	-0.200	-0.200	-0.200	-0.100
88		8		8		|	-0.200	-0.200	-0.200	-0.100
89		8		9		|	-0.200	-0.200	-0.200	-0.100
90		9		0		|	-0.786	-0.700	-0.790	-0.733
91		9		1		|	-0.747	-0.700	-0.701	-0.729
92		9		2		|	-0.661	-0.600	-0.603	-0.598
93		9		3		|	-0.472	-0.490	-0.509	-0.502
94		9		4		|	-0.381	-0.300	-0.300	-0.393
95		9		5		|	-0.299	-0.300	-0.300	-0.299
96		9		6		|	-0.200	-0.200	-0.291	-0.200
97		9		7		|	-0.200	-0.200	-0.200	-0.200
98		9		8		|	-0.200	-0.200	-0.200	-0.200
99		9		9		|	-0.200	-0.200	-0.200	-0.200

*************** Q table for run 4 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.385	-2.421	-2.299	-2.382
1		0		1		|	-2.461	-2.380	-2.379	-2.400
2		0		2		|	-2.335	-1.744	-2.351	-2.397
3		0		3		|	-2.049	-2.169	-2.102	-1.987
4		0		4		|	-1.741	-1.731	-1.846	-1.800
5		0		5		|	-1.363	-1.350	-1.506	-1.300
6		0		6		|	-1.121	-1.047	-1.141	-1.100
7		0		7		|	-0.893	-0.969	-0.993	-0.881
8		0		8		|	-0.845	-0.767	-0.874	-0.800
9		0		9		|	-0.800	-0.766	-0.830	-0.800
10		1		0		|	-2.369	-2.422	-2.385	-2.392
11		1		1		|	-2.151	-2.462	-2.406	-2.460
12		1		2		|	-2.513	1.719	-2.401	-2.565
13		1		3		|	-2.052	-2.040	-1.453	-2.122
14		1		4		|	-1.563	-1.225	-1.662	-1.713
15		1		5		|	-1.196	-1.205	-1.309	-1.203
16		1		6		|	-1.040	-0.902	-0.920	-0.907
17		1		7		|	-0.840	-0.895	-0.892	-0.835
18		1		8		|	-0.756	-0.667	-0.760	-0.719
19		1		9		|	-0.671	-0.671	-0.634	-0.734
20		2		0		|	-1.784	-2.403	-2.400	-2.348
21		2		1		|	1.648	-2.409	-2.754	-2.679
22		2		2		|	1.284	3.000	-0.185	-0.214
23		2		3		|	-1.567	3.879	-1.632	-2.053
24		2		4		|	-1.354	4.011	-1.521	-1.462
25		2		5		|	-0.951	-0.496	-0.930	-0.940
26		2		6		|	-0.649	-0.475	-0.678	-0.639
27		2		7		|	-0.658	-0.628	-0.623	-0.650
28		2		8		|	-0.567	-0.566	-0.529	-0.638
29		2		9		|	-0.600	-0.663	-0.509	-0.522
30		3		0		|	-2.073	-2.114	-2.096	-2.132
31		3		1		|	2.626	-2.078	-2.115	-1.619
32		3		2		|	4.000	0.643	0.820	1.491
33		3		3		|	5.000	4.492	2.177	1.900
34		3		4		|	4.454	6.000	3.918	1.181
35		3		5		|	-0.535	6.610	0.001	-0.778
36		3		6		|	-0.282	1.474	-0.424	-0.292
37		3		7		|	-0.409	-0.373	-0.347	-0.442
38		3		8		|	-0.501	-0.481	-0.490	-0.434
39		3		9		|	-0.580	-0.572	-0.492	-0.518
40		4		0		|	-1.760	-1.733	-1.700	-1.766
41		4		1		|	-1.586	-1.625	-1.610	-1.687
42		4		2		|	3.786	-1.309	-1.315	-1.357
43		4		3		|	5.990	-0.613	-0.671	-0.430
44		4		4		|	5.890	7.000	3.578	4.439
45		4		5		|	2.308	7.996	1.925	0.693
46		4		6		|	-0.219	8.920	-0.100	-0.110
47		4		7		|	-0.403	-0.200	1.835	-0.219
48		4		8		|	-0.401	-0.382	-0.326	-0.427
49		4		9		|	-0.400	-0.478	-0.399	-0.419
50		5		0		|	-1.490	-1.440	-1.499	-1.411
51		5		1		|	-1.236	-1.300	-1.328	-1.293
52		5		2		|	-0.433	-0.904	-0.938	-0.904
53		5		3		|	6.734	-0.565	-0.646	-0.552
54		5		4		|	8.000	5.477	4.826	5.153
55		5		5		|	9.000	7.160	6.024	6.308
56		5		6		|	5.276	10.000	7.368	7.314
57		5		7		|	-0.308	0.139	8.067	-0.074
58		5		8		|	-0.300	-0.269	-0.281	-0.310
59		5		9		|	-0.300	-0.299	-0.374	-0.310
60		6		0		|	-1.143	-1.147	-1.200	-1.253
61		6		1		|	-1.070	-1.092	-1.029	-1.015
62		6		2		|	-0.770	-0.765	-0.862	-0.779
63		6		3		|	0.646	-0.397	-0.442	-0.423
64		6		4		|	8.390	-0.100	-0.222	-0.100
65		6		5		|	9.966	0.015	1.289	-0.053
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.200	-0.100	4.686	0.000
68		6		8		|	-0.200	-0.200	0.405	-0.100
69		6		9		|	-0.200	-0.290	-0.190	-0.200
70		7		0		|	-1.032	-0.948	-0.981	-1.000
71		7		1		|	-0.909	-0.943	-0.924	-0.865
72		7		2		|	-0.707	-0.680	-0.637	-0.750
73		7		3		|	-0.452	-0.399	-0.427	-0.485
74		7		4		|	-0.212	-0.200	-0.210	-0.214
75		7		5		|	-0.100	-0.100	-0.100	1.809
76		7		6		|	-0.100	-0.100	-0.100	0.000
77		7		7		|	-0.200	-0.100	-0.100	-0.100
78		7		8		|	-0.200	-0.200	-0.190	-0.279
79		7		9		|	-0.200	-0.200	-0.290	-0.200
80		8		0		|	-0.873	-0.797	-0.791	-0.865
81		8		1		|	-0.820	-0.784	-0.821	-0.850
82		8		2		|	-0.645	-0.597	-0.634	-0.629
83		8		3		|	-0.461	-0.490	-0.411	-0.401
84		8		4		|	-0.371	-0.310	-0.310	-0.290
85		8		5		|	-0.200	-0.200	-0.210	-0.190
86		8		6		|	-0.200	-0.200	-0.100	-0.100
87		8		7		|	-0.110	-0.299	-0.200	-0.200
88		8		8		|	-0.200	-0.110	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.190	-0.200
90		9		0		|	-0.774	-0.700	-0.700	-0.715
91		9		1		|	-0.658	-0.700	-0.691	-0.819
92		9		2		|	-0.564	-0.600	-0.626	-0.527
93		9		3		|	-0.471	-0.400	-0.430	-0.400
94		9		4		|	-0.390	-0.400	-0.310	-0.399
95		9		5		|	-0.300	-0.300	-0.310	-0.200
96		9		6		|	-0.290	-0.200	-0.200	-0.200
97		9		7		|	-0.290	-0.200	-0.190	-0.290
98		9		8		|	-0.200	-0.200	-0.200	-0.200
99		9		9		|	-0.290	-0.200	-0.190	-0.200

*************** Q table for run 5 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.414	-2.378	-2.383	-2.400
1		0		1		|	-2.377	-2.461	-2.369	-2.398
