*************** Q table for run 0 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.434	-2.508	-2.489	-2.479
1		0		1		|	-2.390	-2.492	-2.464	-2.483
2		0		2		|	-2.392	-2.379	-2.375	-2.389
3		0		3		|	-2.097	-1.461	-2.130	-2.092
4		0		4		|	-1.689	-1.856	-1.749	-1.694
5		0		5		|	-1.445	-1.367	-1.389	-1.300
6		0		6		|	-1.283	-1.159	-1.156	-1.199
7		0		7		|	-1.079	-1.061	-1.007	-1.096
8		0		8		|	-0.933	-0.890	-0.953	-0.892
9		0		9		|	-0.792	-0.866	-0.843	-0.800
10		1		0		|	-2.541	-2.544	-2.499	-2.455
11		1		1		|	-2.556	-2.548	-2.568	-2.523
12		1		2		|	1.054	-2.523	-2.561	-2.589
13		1		3		|	-2.194	2.888	-2.092	-2.274
14		1		4		|	-1.738	-0.781	-1.804	-1.709
15		1		5		|	-1.320	-1.357	-1.304	-1.321
16		1		6		|	-1.067	-1.044	-1.047	-1.142
17		1		7		|	-0.922	-0.915	-0.996	-0.916
18		1		8		|	-0.747	-0.753	-0.863	-0.824
19		1		9		|	-0.797	-0.751	-0.710	-0.738
20		2		0		|	-2.381	-2.450	-2.381	-2.466
21		2		1		|	1.501	-2.589	-2.571	-2.607
22		2		2		|	3.000	2.264	-1.018	-1.163
23		2		3		|	1.237	4.000	1.429	0.542
24		2		4		|	-1.482	4.108	-1.673	-1.560
25		2		5		|	-1.046	-0.966	-1.042	-1.044
26		2		6		|	-0.746	-0.272	-0.800	-0.892
27		2		7		|	-0.671	-0.697	-0.645	-0.741
28		2		8		|	-0.575	-0.646	-0.625	-0.618
29		2		9		|	-0.490	-0.564	-0.605	-0.600
30		3		0		|	-2.130	-2.056	-2.100	-2.236
31		3		1		|	-2.207	-2.151	-2.115	-1.182
32		3		2		|	3.970	-2.047	-2.395	-1.877
33		3		3		|	3.636	5.000	2.295	2.409
34		3		4		|	-0.992	5.943	-0.112	-0.636
35		3		5		|	-0.586	1.548	-0.700	-0.670
36		3		6		|	-0.290	2.933	-0.316	-0.310
37		3		7		|	-0.390	-0.461	0.064	-0.413
38		3		8		|	-0.401	-0.464	-0.469	-0.426
39		3		9		|	-0.482	-0.473	-0.400	-0.426
40		4		0		|	-1.742	-1.731	-1.698	-1.718
41		4		1		|	-1.664	-1.644	-1.692	-1.666
42		4		2		|	-0.839	4.248	-1.459	-0.663
43		4		3		|	5.305	6.000	2.084	3.023
44		4		4		|	0.519	6.999	2.600	0.597
45		4		5		|	-0.190	7.164	-0.328	-0.299
46		4		6		|	-0.190	8.766	-0.110	-0.110
47		4		7		|	-0.200	-0.263	0.671	-0.319
48		4		8		|	-0.300	-0.290	-0.299	-0.329
49		4		9		|	-0.300	-0.381	-0.300	-0.319
50		5		0		|	-1.439	-1.437	-1.396	-1.365
51		5		1		|	-0.254	-1.286	-1.327	-1.269
52		5		2		|	5.967	-1.028	-1.171	-0.975
53		5		3		|	7.000	2.499	4.125	3.856
54		5		4		|	8.000	5.626	4.718	5.445
55		5		5		|	9.000	8.477	6.628	3.729
56		5		6		|	1.415	10.000	7.383	6.486
57		5		7		|	-0.200	4.692	0.810	-0.194
58		5		8		|	-0.200	-0.278	-0.200	-0.210
59		5		9		|	-0.300	-0.290	-0.300	-0.210
60		6		0		|	-1.149	-1.181	-1.194	-1.147
61		6		1		|	-0.987	-1.067	-1.021	-1.010
62		6		2		|	0.107	-0.660	-0.743	-0.663
63		6		3		|	5.966	-0.390	-0.540	-0.219
64		6		4		|	8.791	-0.100	-0.100	0.610
65		6		5		|	9.996	-0.158	0.730	0.992
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.172	-0.200	8.499	0.000
68		6		8		|	-0.100	-0.100	1.149	-0.100
69		6		9		|	-0.200	-0.200	-0.200	-0.210
70		7		0		|	-0.977	-1.032	-1.000	-0.979
71		7		1		|	-0.894	-0.869	-0.923	-0.870
72		7		2		|	-0.683	-0.678	-0.658	-0.640
73		7		3		|	-0.370	-0.503	-0.449	0.031
74		7		4		|	-0.190	-0.200	-0.211	0.079
75		7		5		|	0.081	-0.100	-0.100	1.370
76		7		6		|	-0.100	-0.100	-0.100	3.439
77		7		7		|	-0.200	-0.200	0.000	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.100
79		7		9		|	-0.200	-0.200	-0.200	-0.200
80		8		0		|	-0.861	-0.779	-0.800	-0.834
81		8		1		|	-0.739	-0.780	-0.701	-0.822
82		8		2		|	-0.613	-0.599	-0.626	-0.621
83		8		3		|	-0.463	-0.507	-0.437	-0.512
84		8		4		|	-0.380	-0.309	-0.321	-0.290
85		8		5		|	-0.290	-0.210	-0.210	-0.190
86		8		6		|	-0.200	-0.200	-0.200	-0.171
87		8		7		|	-0.200	-0.200	-0.200	-0.200
88		8		8		|	-0.200	-0.200	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.190	-0.200
90		9		0		|	-0.780	-0.690	-0.700	-0.710
91		9		1		|	-0.764	-0.700	-0.698	-0.698
92		9		2		|	-0.661	-0.600	-0.619	-0.603
93		9		3		|	-0.555	-0.500	-0.519	-0.501
94		9		4		|	-0.381	-0.490	-0.410	-0.399
95		9		5		|	-0.299	-0.200	-0.310	-0.200
96		9		6		|	-0.200	-0.200	-0.200	-0.281
97		9		7		|	-0.200	-0.200	-0.200	-0.200
98		9		8		|	-0.200	-0.200	-0.200	-0.200
99		9		9		|	-0.200	-0.200	-0.200	-0.200

*************** Q table for run 1 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.656	-2.594	-2.587	-2.583
1		0		1		|	-2.486	-2.587	-2.667	-2.581
2		0		2		|	-2.377	-2.419	-2.458	-2.368
3		0		3		|	-2.166	-2.099	-2.100	-2.192
4		0		4		|	-1.832	-1.832	-1.779	-1.800
5		0		5		|	-1.496	-1.529	-1.506	-1.500
6		0		6		|	-1.131	-1.126	-1.258	-1.200
