Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,Run4steps,Run5steps,Run6steps,Run7steps,Run8steps,Run9steps,
0,98,92,100,100,100,100,59,79,100,100,
1,24,16,52,14,14,22,20,18,24,42,
2,36,50,16,12,38,28,14,45,22,30,
3,10,8,10,20,10,8,18,8,10,18,
4,100,10,10,8,8,38,30,8,8,81,
5,29,14,100,12,100,100,8,12,14,96,
6,100,71,44,100,100,100,87,100,100,100,
7,28,100,23,55,100,56,100,100,72,80,
8,46,100,76,100,100,96,21,100,100,61,
9,64,59,100,74,100,99,41,100,76,81,
10,59,100,78,100,8,42,100,18,48,49,
11,100,86,100,100,100,47,65,38,100,14,
12,43,72,91,42,50,100,100,100,100,100,
13,69,46,100,100,32,76,95,100,100,100,
14,30,72,84,83,43,92,100,18,85,82,
15,100,100,99,100,97,54,92,100,39,35,
16,16,36,100,53,14,76,78,14,26,100,
17,100,100,22,12,33,87,100,43,100,100,
18,24,100,100,47,100,62,100,10,43,20,
19,64,53,34,100,39,100,12,100,66,69,
20,89,42,66,100,100,100,74,100,100,100,
21,100,35,100,51,36,16,27,85,89,100,
22,43,8,34,56,39,100,44,51,48,35,
23,78,12,35,10,83,8,100,51,18,49,
24,100,100,69,100,100,77,100,53,100,100,
25,100,65,34,34,64,26,16,100,20,39,
26,20,58,58,100,37,74,97,8,61,22,
27,16,82,70,16,32,14,55,22,100,35,
28,19,68,100,20,27,78,66,100,87,97,
29,83,31,36,39,40,12,81,16,73,10,
30,29,14,53,41,58,61,23,18,19,80,
31,33,21,68,85,12,39,12,40,21,22,
32,77,34,41,33,100,47,57,43,42,33,
33,16,12,31,100,100,44,10,24,56,73,
34,91,85,71,28,25,52,71,17,43,18,
35,65,34,19,60,38,8,12,47,19,54,
36,18,69,41,40,78,100,41,100,48,52,
37,32,12,23,12,22,84,43,43,21,34,
38,14,63,41,71,53,8,10,12,14,32,
39,39,51,30,12,8,10,28,19,29,23,
40,57,16,18,8,12,38,100,20,10,33,
41,12,27,73,100,24,25,14,100,29,17,
42,74,10,63,55,43,14,37,14,46,12,
43,12,42,42,10,51,24,38,71,18,56,
44,75,36,25,14,8,21,70,33,10,16,
45,49,8,16,77,57,16,26,18,100,42,
46,50,96,12,23,56,30,50,24,17,18,
47,14,8,41,14,18,10,54,56,10,47,
48,19,20,52,91,25,8,18,47,39,8,
49,34,37,28,10,35,100,18,62,8,48,
50,8,19,53,34,75,20,33,24,75,26,
51,91,21,27,36,22,14,14,18,10,16,
52,14,49,18,8,16,15,10,10,65,29,
53,95,35,66,30,18,38,33,19,36,64,
54,22,23,19,33,65,14,23,12,30,100,
55,8,40,71,8,8,41,10,10,17,12,
56,35,63,19,57,35,8,66,26,87,44,
57,29,21,10,8,8,47,40,100,18,10,
58,27,21,20,27,36,19,31,18,8,12,
59,13,10,32,28,43,14,12,8,8,8,
60,74,20,20,14,12,8,8,12,28,49,
61,61,29,17,35,48,62,68,22,32,23,
62,10,28,26,50,10,45,38,12,42,38,
63,8,56,38,16,21,14,27,36,23,12,
64,43,20,16,8,23,10,18,45,12,10,
65,8,15,14,12,29,100,26,28,8,8,
66,10,43,48,27,8,40,46,61,46,31,
67,10,19,8,10,91,21,49,53,29,72,
68,22,16,22,30,8,31,8,8,26,16,
69,8,62,39,15,18,14,28,8,18,24,
70,8,10,8,43,23,8,8,8,49,16,
71,22,14,36,35,27,8,20,71,8,21,
72,13,14,22,14,14,18,12,27,10,8,
73,8,10,12,19,30,33,16,12,31,36,
74,25,29,10,8,28,12,28,32,39,15,
75,14,18,68,13,8,14,35,8,39,10,
76,26,12,14,8,10,78,26,13,8,10,
77,15,28,12,100,16,10,16,14,12,12,
78,8,24,44,8,36,8,37,29,10,19,
79,34,8,8,18,14,10,8,61,8,8,
80,41,8,10,13,55,35,12,8,51,62,
81,37,8,29,25,8,8,49,21,10,68,
82,10,43,10,10,36,20,29,10,50,13,
83,8,10,10,13,12,57,25,10,8,8,
84,8,8,34,20,8,16,10,8,36,8,
85,24,8,14,36,14,10,35,8,21,26,
86,12,16,30,10,18,14,8,30,8,36,
87,8,12,8,25,14,12,45,28,10,15,
88,18,21,23,18,8,8,8,10,8,12,
89,8,31,44,40,17,12,53,28,39,31,
90,85,15,12,8,8,10,12,8,26,8,
91,15,8,16,10,21,19,8,12,8,8,
